YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,9,15,3.18,89.25,11.18
2016,1,9,16,3.06,91.44,10.87
2016,1,9,17,3.17,92.25,10.72
2016,1,9,18,3.17,92.44,10.66
2016,1,9,19,3.07,92.75,10.54
2016,1,9,20,2.86,93.06,10.37
2016,1,9,21,2.75,93.0,10.26
2016,1,9,22,2.81,92.94,10.15
2016,1,9,23,2.72,92.94,9.94
2016,1,10,0,2.8,92.88,9.87
2016,1,10,1,2.68,93.44,9.65
2016,1,10,2,2.36,93.38,9.64
2016,1,10,3,2.18,93.06,9.71
2016,1,10,4,2.22,93.0,9.68
2016,1,10,5,2.34,92.69,9.55
2016,1,10,6,2.24,91.44,9.34
2016,1,10,7,2.01,88.88,9.66
2016,1,10,8,2.03,84.12,10.94
2016,1,10,9,1.67,77.56,12.0
2016,1,10,10,0.9,69.81,13.09
2016,1,10,11,0.75,63.25,13.93
2016,1,10,12,1.68,60.94,14.43
2016,1,10,13,2.48,62.38,14.4
2016,1,10,14,2.99,66.69,13.83
2016,1,10,15,3.14,72.88,13.01
2016,1,10,16,2.77,81.56,12.01
2016,1,10,17,2.57,85.88,11.24
2016,1,10,18,2.39,85.69,11.07
2016,1,10,19,2.11,84.62,11.0
2016,1,10,20,1.76,83.06,11.02
2016,1,10,21,1.4,80.69,11.23
2016,1,10,22,1.08,78.38,11.44
2016,1,10,23,1.03,77.75,11.42
2016,1,11,0,0.96,77.31,11.37
2016,1,11,1,0.77,76.12,11.48
2016,1,11,2,1.01,76.0,11.39
2016,1,11,3,1.15,74.94,11.33
2016,1,11,4,1.26,73.88,11.3
2016,1,11,5,1.44,73.69,11.16
2016,1,11,6,1.56,73.81,10.9
2016,1,11,7,1.56,73.44,11.04
2016,1,11,8,1.35,73.44,12.09
2016,1,11,9,1.01,65.06,13.12
2016,1,11,10,0.97,58.62,14.05
2016,1,11,11,1.4,57.81,14.51
2016,1,11,12,1.72,58.88,14.68
2016,1,11,13,1.77,61.0,14.67
2016,1,11,14,1.73,63.69,14.56
2016,1,11,15,1.56,71.19,14.09
2016,1,11,16,1.64,79.62,12.9
2016,1,11,17,1.85,82.81,12.07
2016,1,11,18,1.91,85.56,11.69
2016,1,11,19,1.94,86.12,11.53
2016,1,11,20,1.95,85.19,11.45
2016,1,11,21,1.95,84.31,11.21
2016,1,11,22,1.95,82.94,10.83
2016,1,11,23,2.0,80.75,10.48
2016,1,12,0,2.18,78.44,10.15
2016,1,12,1,2.31,76.44,9.93
2016,1,12,2,2.21,75.5,9.83
2016,1,12,3,1.83,74.0,9.95
2016,1,12,4,0.75,69.19,10.65
2016,1,12,5,1.0,68.25,10.96
2016,1,12,6,1.95,72.44,10.23
2016,1,12,7,2.08,71.44,9.89
2016,1,12,8,2.45,64.69,11.94
2016,1,12,9,2.8,50.5,13.98
2016,1,12,10,2.25,44.0,15.55
2016,1,12,11,2.38,43.25,16.5
2016,1,12,12,3.21,41.19,17.01
2016,1,12,13,3.04,42.06,16.95
2016,1,12,14,2.86,45.94,16.33
2016,1,12,15,3.31,50.56,14.98
2016,1,12,16,2.27,69.31,12.33
2016,1,12,17,2.07,79.62,10.48
2016,1,12,18,2.0,85.25,10.01
2016,1,12,19,1.81,86.62,9.84
2016,1,12,20,1.61,81.38,10.05
2016,1,12,21,1.51,71.94,10.37
2016,1,12,22,1.57,64.56,10.51
2016,1,12,23,1.54,59.94,10.49
2016,1,13,0,1.14,55.88,10.83
2016,1,13,1,0.46,53.94,11.62
2016,1,13,2,1.06,57.19,11.73
2016,1,13,3,1.63,65.5,11.12
2016,1,13,4,2.15,72.5,10.62
2016,1,13,5,2.29,78.38,10.34
2016,1,13,6,2.16,84.0,10.26
2016,1,13,7,2.0,89.56,10.5
2016,1,13,8,1.93,87.44,12.0
2016,1,13,9,1.97,85.75,12.92
2016,1,13,10,2.43,84.81,13.71
2016,1,13,11,3.48,83.5,14.32
2016,1,13,12,4.49,82.5,14.49
2016,1,13,13,5.0,80.94,14.53
2016,1,13,14,4.93,77.75,14.51
2016,1,13,15,4.44,75.19,14.11
2016,1,13,16,3.35,80.38,12.69
2016,1,13,17,3.17,87.94,10.74
2016,1,13,18,3.18,90.38,10.06
2016,1,13,19,3.17,91.06,9.6
2016,1,13,20,3.29,91.81,9.19
2016,1,13,21,3.78,92.75,8.94
2016,1,13,22,4.13,92.56,8.78
2016,1,13,23,3.97,91.62,8.48
2016,1,14,0,4.13,90.81,8.33
2016,1,14,1,4.13,90.06,8.51
2016,1,14,2,3.96,90.44,8.6
2016,1,14,3,3.77,91.94,8.51
2016,1,14,4,3.58,93.0,8.4
2016,1,14,5,3.46,93.0,8.3
2016,1,14,6,3.46,92.19,8.24
2016,1,14,7,3.39,88.88,8.74
