YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,17,13,0.58,97.69,11.48
2016,1,17,14,0.57,97.94,11.3
2016,1,17,15,0.55,98.12,11.16
2016,1,17,16,0.5,98.38,11.01
2016,1,17,17,0.46,98.62,10.87
2016,1,17,18,0.37,99.0,10.76
2016,1,17,19,0.32,99.12,10.65
2016,1,17,20,0.29,99.12,10.47
2016,1,17,21,0.26,99.06,9.96
2016,1,17,22,0.3,97.0,9.51
2016,1,17,23,0.17,95.25,8.68
2016,1,18,0,0.11,90.19,8.47
2016,1,18,1,0.51,87.56,8.19
2016,1,18,2,0.69,91.38,7.2
2016,1,18,3,0.63,95.38,6.4
2016,1,18,4,0.63,96.94,6.03
2016,1,18,5,0.67,98.25,5.48
2016,1,18,6,0.7,99.62,4.89
2016,1,18,7,0.38,100.0,5.3
2016,1,18,8,0.26,99.62,7.18
2016,1,18,9,0.25,99.0,7.84
2016,1,18,10,0.28,97.44,8.8
2016,1,18,11,0.34,95.0,9.55
2016,1,18,12,0.33,95.94,9.53
2016,1,18,13,0.32,97.0,9.41
2016,1,18,14,0.31,97.06,9.37
2016,1,18,15,0.31,97.44,9.24
2016,1,18,16,0.31,98.0,9.11
2016,1,18,17,0.31,98.56,9.07
2016,1,18,18,0.31,98.81,9.16
2016,1,18,19,0.3,99.12,9.33
2016,1,18,20,0.31,99.31,9.54
2016,1,18,21,0.33,99.38,9.78
2016,1,18,22,0.37,99.31,10.03
2016,1,18,23,0.39,99.31,10.17
2016,1,19,0,0.41,99.19,10.18
2016,1,19,1,0.46,99.19,10.05
2016,1,19,2,0.45,99.31,9.74
2016,1,19,3,0.47,99.19,9.66
2016,1,19,4,0.54,99.12,9.8
2016,1,19,5,0.6,99.12,10.04
2016,1,19,6,0.66,98.94,10.05
2016,1,19,7,0.71,98.75,9.9
2016,1,19,8,0.72,98.62,10.14
2016,1,19,9,0.67,98.75,10.87
2016,1,19,10,0.64,98.75,11.65
2016,1,19,11,0.57,98.38,12.05
2016,1,19,12,0.55,97.94,12.05
2016,1,19,13,0.58,96.31,11.83
2016,1,19,14,0.58,94.81,11.07
2016,1,19,15,0.53,94.44,10.26
2016,1,19,16,0.45,95.69,9.4
2016,1,19,17,0.4,97.38,8.51
2016,1,19,18,0.38,97.5,8.01
2016,1,19,19,0.35,97.62,7.59
2016,1,19,20,0.33,98.06,7.22
2016,1,19,21,0.33,99.5,6.64
2016,1,19,22,0.36,100.0,6.19
2016,1,19,23,0.49,99.12,6.35
2016,1,20,0,0.52,97.75,6.54
2016,1,20,1,0.52,96.88,6.64
2016,1,20,2,0.49,95.94,6.8
2016,1,20,3,0.44,95.56,6.9
2016,1,20,4,0.34,95.62,6.97
2016,1,20,5,0.21,96.25,6.88
2016,1,20,6,0.2,97.25,6.43
2016,1,20,7,0.17,97.38,5.94
2016,1,20,8,0.13,95.81,7.17
2016,1,20,9,0.17,89.88,8.63
2016,1,20,10,0.22,77.88,10.19
2016,1,20,11,0.27,71.19,10.81
2016,1,20,12,0.29,68.31,11.0
2016,1,20,13,0.29,68.38,10.82
2016,1,20,14,0.3,71.81,10.43
2016,1,20,15,0.33,76.44,9.96
2016,1,20,16,0.32,84.56,9.14
2016,1,20,17,0.34,88.0,8.5
2016,1,20,18,0.39,88.19,8.44
2016,1,20,19,0.43,87.19,8.3
2016,1,20,20,0.35,86.56,8.23
2016,1,20,21,0.34,85.56,8.11
2016,1,20,22,0.35,84.62,7.99
2016,1,20,23,0.36,84.56,7.86
2016,1,21,0,0.37,85.12,7.79
2016,1,21,1,0.37,86.12,7.65
2016,1,21,2,0.37,86.94,7.48
2016,1,21,3,0.42,85.81,7.33
2016,1,21,4,0.47,82.94,7.28
2016,1,21,5,0.52,83.81,7.23
2016,1,21,6,0.55,87.06,7.15
2016,1,21,7,0.56,90.12,7.12
2016,1,21,8,0.55,91.19,7.51
2016,1,21,9,0.5,89.19,8.41
2016,1,21,10,0.49,85.31,9.49
2016,1,21,11,0.5,79.56,10.56
2016,1,21,12,0.5,77.31,11.07
2016,1,21,13,0.51,81.06,10.98
2016,1,21,14,0.52,86.69,10.7
2016,1,21,15,0.53,91.69,10.51
2016,1,21,16,0.56,95.31,10.37
2016,1,21,17,0.56,97.12,10.36
2016,1,21,18,0.55,97.75,10.45
2016,1,21,19,0.58,98.12,10.64
2016,1,21,20,0.58,98.62,10.84
2016,1,21,21,0.61,98.69,11.11
2016,1,21,22,0.63,98.81,11.41
2016,1,21,23,0.62,98.88,11.51
2016,1,22,0,0.6,98.94,11.46
2016,1,22,1,0.52,99.0,11.35
2016,1,22,2,0.46,99.06,11.19
2016,1,22,3,0.4,99.12,11.02
2016,1,22,4,0.33,99.12,10.8
2016,1,22,5,0.3,99.06,10.46
2016,1,22,6,0.27,99.06,9.9
2016,1,22,7,0.23,98.88,9.26
2016,1,22,8,0.19,98.44,9.11
2016,1,22,9,0.15,97.56,9.01
2016,1,22,10,0.22,96.38,9.03
2016,1,22,11,0.29,95.25,9.33
2016,1,22,12,0.35,94.44,9.64
2016,1,22,13,0.38,94.06,10.08
2016,1,22,14,0.43,92.62,10.49
2016,1,22,15,0.49,92.81,10.4
2016,1,22,16,0.57,95.69,9.88
2016,1,22,17,0.62,97.19,9.45
2016,1,22,18,0.64,97.31,9.36
2016,1,22,19,0.63,97.81,9.5
2016,1,22,20,0.63,98.06,9.62
2016,1,22,21,0.65,97.56,9.33
2016,1,22,22,0.69,96.94,8.45
2016,1,22,23,0.7,97.12,7.9
2016,1,23,0,0.69,97.62,7.8
2016,1,23,1,0.7,97.44,7.77
2016,1,23,2,0.72,97.25,7.55
2016,1,23,3,0.71,97.5,7.34
2016,1,23,4,0.68,97.81,7.33
2016,1,23,5,0.63,98.12,7.45
2016,1,23,6,0.58,98.44,7.63
2016,1,23,7,0.55,98.62,7.65
2016,1,23,8,0.55,98.44,7.93
2016,1,23,9,0.55,98.12,8.17
2016,1,23,10,0.59,96.69,8.34
2016,1,23,11,0.67,93.06,8.61
2016,1,23,12,0.69,92.44,8.12
2016,1,23,13,0.69,92.44,7.87
2016,1,23,14,0.68,92.5,7.83
2016,1,23,15,0.63,94.0,7.62
2016,1,23,16,0.6,95.75,7.2
2016,1,23,17,0.59,97.44,6.58
2016,1,23,18,0.55,97.88,6.31
2016,1,23,19,0.51,98.5,6.12
2016,1,23,20,0.51,98.62,6.14
2016,1,23,21,0.47,98.75,6.15
2016,1,23,22,0.45,98.56,6.12
2016,1,23,23,0.44,98.31,6.12
2016,1,24,0,0.42,98.12,6.1
2016,1,24,1,0.42,98.19,6.01
2016,1,24,2,0.42,98.31,5.87
2016,1,24,3,0.44,98.19,5.75
2016,1,24,4,0.46,98.0,5.66
2016,1,24,5,0.44,97.81,5.62
2016,1,24,6,0.42,97.56,5.62
2016,1,24,7,0.39,97.44,5.63
2016,1,24,8,0.35,96.62,6.11
2016,1,24,9,0.28,93.06,7.51
2016,1,24,10,0.23,76.56,9.75
2016,1,24,11,0.19,61.94,10.89
2016,1,24,12,0.22,57.81,11.39
2016,1,24,13,0.3,61.0,11.21
2016,1,24,14,0.33,66.69,10.61
2016,1,24,15,0.3,73.31,9.82
2016,1,24,16,0.27,84.75,8.54
2016,1,24,17,0.3,96.5,7.13
2016,1,24,18,0.28,98.31,7.1
2016,1,24,19,0.23,98.62,7.3
2016,1,24,20,0.25,99.12,7.54
2016,1,24,21,0.28,99.19,7.87
2016,1,24,22,0.32,98.94,8.12
2016,1,24,23,0.35,97.5,8.37
2016,1,25,0,0.26,96.0,8.44
2016,1,25,1,0.38,95.5,8.48
2016,1,25,2,0.52,96.12,8.26
2016,1,25,3,0.59,97.0,7.87
2016,1,25,4,0.42,98.25,7.61
2016,1,25,5,0.28,99.19,7.53
2016,1,25,6,0.24,99.44,7.62
2016,1,25,7,0.24,99.38,7.49
2016,1,25,8,0.22,98.75,8.01
2016,1,25,9,0.21,98.0,8.87
2016,1,25,10,0.22,94.94,9.95
2016,1,25,11,0.22,89.44,10.9
2016,1,25,12,0.21,86.0,11.4
2016,1,25,13,0.16,98.12,11.04
2016,1,25,14,0.08,99.06,10.99
2016,1,25,15,0.04,94.88,10.95
2016,1,25,16,0.09,93.62,10.55
2016,1,25,17,0.12,91.88,10.1
2016,1,25,18,0.24,91.69,9.83
2016,1,25,19,0.47,90.44,9.55
2016,1,25,20,0.54,89.12,9.38
2016,1,25,21,0.63,87.88,9.19
2016,1,25,22,0.75,88.19,8.84
2016,1,25,23,0.78,88.06,8.6
2016,1,26,0,0.79,87.75,8.42
2016,1,26,1,0.73,86.12,8.63
2016,1,26,2,0.73,84.69,8.83
2016,1,26,3,0.78,84.88,8.63
2016,1,26,4,0.87,85.5,8.33
