YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,12,19,1.35,93.38,10.48
2016,1,12,20,1.66,92.75,10.31
2016,1,12,21,1.98,92.19,10.17
2016,1,12,22,2.65,91.38,10.48
2016,1,12,23,3.53,92.0,10.93
2016,1,13,0,4.14,92.69,11.49
2016,1,13,1,4.2,94.25,11.59
2016,1,13,2,4.02,95.5,11.73
2016,1,13,3,4.1,96.19,12.0
2016,1,13,4,3.95,96.12,12.24
2016,1,13,5,3.64,94.62,11.92
2016,1,13,6,2.89,94.0,10.62
2016,1,13,7,2.31,96.62,9.76
2016,1,13,8,3.07,92.94,11.48
2016,1,13,9,3.64,85.31,12.73
2016,1,13,10,4.46,74.62,13.44
2016,1,13,11,4.81,69.12,13.69
2016,1,13,12,5.02,67.38,13.57
2016,1,13,13,4.87,67.56,12.88
2016,1,13,14,4.55,69.56,12.28
2016,1,13,15,3.79,73.88,11.65
2016,1,13,16,1.75,86.31,9.91
2016,1,13,17,1.11,97.5,7.35
2016,1,13,18,1.09,100.0,6.73
2016,1,13,19,1.07,100.0,6.46
2016,1,13,20,1.02,100.0,6.36
2016,1,13,21,1.11,100.0,5.76
2016,1,13,22,1.07,99.5,6.09
2016,1,13,23,1.09,99.62,5.94
2016,1,14,0,0.99,98.12,6.23
2016,1,14,1,1.06,100.0,5.76
2016,1,14,2,1.08,100.0,5.44
2016,1,14,3,1.03,100.0,5.41
2016,1,14,4,0.91,100.0,5.57
2016,1,14,5,0.63,98.44,6.12
2016,1,14,6,0.73,96.94,6.26
2016,1,14,7,1.04,99.31,5.55
2016,1,14,8,1.21,93.25,7.72
2016,1,14,9,1.92,86.0,9.4
2016,1,14,10,2.34,77.5,10.71
2016,1,14,11,2.4,73.62,11.23
2016,1,14,12,2.64,74.38,11.23
2016,1,14,13,2.94,76.19,11.26
2016,1,14,14,3.01,78.81,11.24
2016,1,14,15,2.42,85.5,10.67
2016,1,14,16,1.46,93.38,9.84
2016,1,14,17,2.12,94.38,9.83
2016,1,14,18,2.93,94.25,10.06
2016,1,14,19,3.37,95.06,10.15
2016,1,14,20,3.54,95.69,10.31
2016,1,14,21,3.43,96.0,10.56
2016,1,14,22,3.1,96.62,10.87
2016,1,14,23,2.23,98.0,10.94
2016,1,15,0,1.43,100.0,9.38
2016,1,15,1,1.22,100.0,8.61
2016,1,15,2,1.06,100.0,7.77
2016,1,15,3,1.01,100.0,7.42
2016,1,15,4,0.94,100.0,7.86
2016,1,15,5,0.76,100.0,7.94
2016,1,15,6,0.58,98.44,8.52
2016,1,15,7,0.38,97.62,8.76
2016,1,15,8,0.24,95.69,9.77
2016,1,15,9,0.61,90.0,10.77
2016,1,15,10,1.02,83.31,11.42
2016,1,15,11,1.33,78.12,12.02
2016,1,15,12,1.36,72.38,12.57
2016,1,15,13,1.07,70.75,12.76
2016,1,15,14,0.7,72.0,12.79
2016,1,15,15,0.56,68.88,13.37
2016,1,15,16,0.34,67.19,12.56
2016,1,15,17,0.51,67.44,11.44
2016,1,15,18,0.77,73.31,10.56
2016,1,15,19,1.0,81.56,9.43
2016,1,15,20,0.99,86.62,9.26
2016,1,15,21,0.88,88.62,9.45
2016,1,15,22,0.77,91.5,9.26
2016,1,15,23,0.77,94.25,9.03
2016,1,16,0,1.04,95.44,8.94
2016,1,16,1,1.67,94.5,9.07
2016,1,16,2,2.31,93.75,9.1
2016,1,16,3,2.54,94.06,9.01
2016,1,16,4,2.5,94.06,9.16
2016,1,16,5,2.56,93.94,9.47
2016,1,16,6,2.49,94.69,9.6
2016,1,16,7,2.69,95.19,9.86
2016,1,16,8,2.91,94.88,10.7
2016,1,16,9,2.84,94.25,11.92
2016,1,16,10,2.68,93.38,13.3
2016,1,16,11,2.56,91.25,14.64
2016,1,16,12,2.52,89.06,15.5
2016,1,16,13,2.23,88.12,15.74
2016,1,16,14,1.9,88.75,15.73
2016,1,16,15,1.48,90.75,15.48
2016,1,16,16,0.74,96.88,13.87
2016,1,16,17,0.89,100.0,12.12
2016,1,16,18,0.91,100.0,11.51
2016,1,16,19,0.98,100.0,10.95
2016,1,16,20,1.07,100.0,10.33
2016,1,16,21,1.05,100.0,9.89
2016,1,16,22,1.1,100.0,9.99
2016,1,16,23,1.2,100.0,10.48
2016,1,17,0,1.25,99.75,10.94
2016,1,17,1,1.3,98.94,11.15
2016,1,17,2,1.23,99.0,11.09
2016,1,17,3,1.36,98.5,11.55
2016,1,17,4,1.64,97.88,12.01
2016,1,17,5,1.59,98.44,11.73
2016,1,17,6,2.04,98.06,11.91
